current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,state,temperature,unit_of_measurement
,,update,update.home_assistant_supervisor_update,Home Assistant Supervisor Update,,,,off,,
,,update,update.home_assistant_core_update,Home Assistant Core Update,,,,off,,
,,update,update.get_hacs_update_2,Get HACS Update,,,,off,,
,,update,update.file_editor_update,File editor Update,,,,off,,
,,update,update.matter_server_update,Matter Server Update,,,,off,,
,,update,update.samba_share_update,Samba share Update,,,,off,,
,,update,update.terminal_ssh_update,Terminal & SSH Update,,,,off,,
,,update,update.vlc_update,VLC Update,,,,off,,
,,update,update.adguard_home_update,AdGuard Home Update,,,,off,,
,,update,update.appdaemon_update,AppDaemon Update,,,,off,,
,,update,update.grafana_update,Grafana Update,,,,off,,
,,update,update.influxdb_update,InfluxDB Update,,,,off,,
,,update,update.log_viewer_update,Log Viewer Update,,,,off,,
,,update,update.motioneye_update,motionEye Update,,,,off,,
,,update,update.mqtt_io_update,MQTT IO Update,,,,off,,
,,update,update.node_red_update,Node-RED Update,,,,off,,
,,update,update.sabnzbd_update,SABnzbd Update,,,,off,,
,,update,update.spotify_connect_update,Spotify Connect Update,,,,off,,
,,update,update.studio_code_server_update,Studio Code Server Update,,,,off,,
,,update,update.mosquitto_broker_update,Mosquitto broker Update,,,,off,,
,,update,update.tailscale_update,Tailscale Update,,,,off,,
,,update,update.tor_update,Tor Update,,,,off,,
,,update,update.vaultwarden_bitwarden_update,Vaultwarden (Bitwarden) Update,,,,off,,
,,update,update.uptime_kuma_update,Uptime Kuma Update,,,,off,,
,,update,update.zerotier_one_update,ZeroTier One Update,,,,off,,
,,update,update.traccar_update,Traccar Update,,,,off,,
,,update,update.music_assistant_update,Music Assistant Update,,,,on,,
,,update,update.nginx_proxy_manager_update,Nginx Proxy Manager Update,,,,off,,
,,update,update.jupyterlab_update,JupyterLab Update,,,,off,,
,,update,update.sqlite_web_update,SQLite Web Update,,,,off,,
,,update,update.get_hacs_update,Get HACS Update,,,,off,,
,,update,update.advanced_ssh_web_terminal_update,Advanced SSH & Web Terminal Update,,,,off,,
,,update,update.duck_dns_update,Duck DNS Update,,,,off,,
,,update,update.dropbox_sync_update,Dropbox Sync Update,,,,off,,
,,update,update.folding_home_update,Folding@home Update,,,,off,,
,,update,update.home_assistant_operating_system_update,Home Assistant Operating System Update,,,,off,,
,,conversation,conversation.home_assistant,Home Assistant,,,,unknown,,
,,group,group.all_lights,All Lights,,,,unknown,,
,,group,group.security_sensors,Security Sensors,,,,unknown,,
,,group,group.motion_sensors,Motion Sensors,,,,unknown,,
,,group,group.energy_monitoring,Energy Monitoring,,,,unknown,,
,,group,group.sonoff_devices,SONOFF Devices,,,,unknown,,
,,group,group.tuya_devices,TUYA Devices,,,,unknown,,
,,group,group.onedrive_monitoring,OneDrive Monitoring,,,,unknown,,
,,group,group.system_health,System Health,,,,off,,
,,group,group.solar_energy,Solar Energy,,,,unknown,,
,connectivity,binary_sensor,binary_sensor.network_monitoring_active,Network Monitoring Active,,,,off,,
,problem,binary_sensor,binary_sensor.system_health_critical,System Health Critical,,,,off,,
,update,binary_sensor,binary_sensor.updates_available,Updates Available,,,,on,,
,energy,sensor,sensor.deyeinvertermaster_solar_power_used,deyeinvertermaster_solar_power_used,,,,0.0,,kWh
,power,sensor,sensor.deyeinvertermaster_essential_load,deyeinvertermaster_essential_load,,,,-35,,W
,power,sensor,sensor.deyeinvertermaster_non_essential_load,deyeinvertermaster_non_essential_load,,,,1616,,W
,,sensor,sensor.deyeinvertermaster_priority_charge_or_load,deyeinvertermaster_priority_charge_or_load,,,,on,,
,energy,sensor,sensor.deyeinvertermaster_solar_power_used_2,deyeinvertermaster_solar_power_used,,,,0.0,,kWh
,power,sensor,sensor.deyeinvertermaster_essential_load_2,deyeinvertermaster_essential_load,,,,unavailable,,W
,power,sensor,sensor.deyeinvertermaster_non_essential_load_2,deyeinvertermaster_non_essential_load,,,,1616,,W
,,sensor,sensor.deyeinvertermaster_priority_charge_or_load_2,deyeinvertermaster_priority_charge_or_load,,,,on,,
